cluster_id,analysis_order,reference_id,treatment_id,execution_class,strict_correct,semantic_correct,semantic_determinate,output_tokens,finish_reason
f7fd2cb7d8a6cbac338bdac4ab1b7f67,1,BASE,T0_OFF,primary,False,False,False,436,stop
f7fd2cb7d8a6cbac338bdac4ab1b7f67,1,BASE,T1_SILENT_CHECK,primary,True,True,True,537,stop
f7fd2cb7d8a6cbac338bdac4ab1b7f67,1,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,432,stop
f7fd2cb7d8a6cbac338bdac4ab1b7f67,1,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,468,stop
f7fd2cb7d8a6cbac338bdac4ab1b7f67,1,MASK_SENTINEL,T0_OFF,primary,True,True,True,539,stop
f7fd2cb7d8a6cbac338bdac4ab1b7f67,1,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,505,stop
4c22d7a74ab6a85f999b960ab023ce4c,198,BASE,T0_OFF,primary,True,True,True,771,stop
4c22d7a74ab6a85f999b960ab023ce4c,198,MASK_SENTINEL,T0_OFF,primary,True,True,True,750,stop
4c22d7a74ab6a85f999b960ab023ce4c,198,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,774,stop
4c22d7a74ab6a85f999b960ab023ce4c,198,BASE,T1_SILENT_CHECK,primary,True,True,True,814,stop
4c22d7a74ab6a85f999b960ab023ce4c,198,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,695,stop
4c22d7a74ab6a85f999b960ab023ce4c,198,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,856,stop
6590e3e9e8a64d510ea19301b300eb21,228,BASE,T0_OFF,primary,False,False,False,339,stop
6590e3e9e8a64d510ea19301b300eb21,228,MASK_SENTINEL,T0_OFF,primary,False,False,True,359,stop
6590e3e9e8a64d510ea19301b300eb21,228,BASE,T1_SILENT_CHECK,primary,False,False,True,378,stop
6590e3e9e8a64d510ea19301b300eb21,228,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,False,357,stop
6590e3e9e8a64d510ea19301b300eb21,228,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,441,stop
6590e3e9e8a64d510ea19301b300eb21,228,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,435,stop
5f83dcf4dcb73eb5c1032fdd4093a907,122,BASE,T0_OFF,primary,True,True,True,518,stop
5f83dcf4dcb73eb5c1032fdd4093a907,122,BASE,T1_SILENT_CHECK,primary,True,True,True,539,stop
5f83dcf4dcb73eb5c1032fdd4093a907,122,MASK_SENTINEL,T0_OFF,primary,True,True,True,533,stop
5f83dcf4dcb73eb5c1032fdd4093a907,122,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,545,stop
5f83dcf4dcb73eb5c1032fdd4093a907,122,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,577,stop
5f83dcf4dcb73eb5c1032fdd4093a907,122,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,545,stop
a0a1a59283191bc8867704323d80322f,9,BASE,T0_OFF,primary,True,True,True,466,stop
a0a1a59283191bc8867704323d80322f,9,BASE,T1_SILENT_CHECK,primary,True,True,True,431,stop
a0a1a59283191bc8867704323d80322f,9,MASK_SENTINEL,T0_OFF,primary,True,True,True,458,stop
a0a1a59283191bc8867704323d80322f,9,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,441,stop
a0a1a59283191bc8867704323d80322f,9,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,467,stop
a0a1a59283191bc8867704323d80322f,9,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,446,stop
a0a1a59283191bc8867704323d80322f,9,BASE,T1_SILENT_CHECK,integrity_duplicate,True,True,True,431,stop
a0a1a59283191bc8867704323d80322f,9,BASE,T0_OFF,integrity_duplicate,True,True,True,466,stop
a0a1a59283191bc8867704323d80322f,9,MASK_SENTINEL,T0_OFF,integrity_duplicate,True,True,True,458,stop
a0a1a59283191bc8867704323d80322f,9,MASK_SENTINEL,T1_SILENT_CHECK,integrity_duplicate,True,True,True,441,stop
a0a1a59283191bc8867704323d80322f,9,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,integrity_duplicate,True,True,True,467,stop
a0a1a59283191bc8867704323d80322f,9,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,integrity_duplicate,True,True,True,446,stop
970a8b45efef7e277b9cbd0b58b6c579,195,BASE,T1_SILENT_CHECK,primary,True,True,True,409,stop
970a8b45efef7e277b9cbd0b58b6c579,195,BASE,T0_OFF,primary,True,True,True,426,stop
970a8b45efef7e277b9cbd0b58b6c579,195,MASK_SENTINEL,T0_OFF,primary,True,True,True,413,stop
