cluster_id,model,reference_id,treatment_id,o_correct,n_correct
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R0_BASE,T0_OFF,1,1
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R0_BASE,T1_SILENT_CHECK,1,1
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T0_OFF,1,1
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,1,1
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R2_NO_INFORMATION,T0_OFF,1,1
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R2_NO_INFORMATION,T1_SILENT_CHECK,1,1
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T0_OFF,1,0
0e91a5d2c57efff3ce9e9cc04607192b,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,1,1
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R0_BASE,T0_OFF,0,1
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R0_BASE,T1_SILENT_CHECK,1,1
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R1_METADATA_NEUTRAL,T0_OFF,0,0
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,1,1
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R2_NO_INFORMATION,T0_OFF,0,0
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R2_NO_INFORMATION,T1_SILENT_CHECK,1,0
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T0_OFF,1,1
0e91a5d2c57efff3ce9e9cc04607192b,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,1,1
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R0_BASE,T0_OFF,1,1
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R0_BASE,T1_SILENT_CHECK,0,0
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T0_OFF,0,1
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,1,0
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R2_NO_INFORMATION,T0_OFF,0,0
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R2_NO_INFORMATION,T1_SILENT_CHECK,1,0
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T0_OFF,1,1
c09c1c587ad6cc084b8348b80deadc1e,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,1,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R0_BASE,T0_OFF,0,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R0_BASE,T1_SILENT_CHECK,0,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R1_METADATA_NEUTRAL,T0_OFF,0,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,0,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R2_NO_INFORMATION,T0_OFF,0,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R2_NO_INFORMATION,T1_SILENT_CHECK,0,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T0_OFF,0,0
c09c1c587ad6cc084b8348b80deadc1e,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R0_BASE,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R0_BASE,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R2_NO_INFORMATION,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R2_NO_INFORMATION,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R0_BASE,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R0_BASE,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R1_METADATA_NEUTRAL,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R2_NO_INFORMATION,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R2_NO_INFORMATION,T1_SILENT_CHECK,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T0_OFF,0,0
c19d2691e9086d7ff55ef20b7722be80,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,0,0
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R0_BASE,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R0_BASE,T1_SILENT_CHECK,1,1
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,1,1
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R2_NO_INFORMATION,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R2_NO_INFORMATION,T1_SILENT_CHECK,0,0
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R0_BASE,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R0_BASE,T1_SILENT_CHECK,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R1_METADATA_NEUTRAL,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R2_NO_INFORMATION,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R2_NO_INFORMATION,T1_SILENT_CHECK,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T0_OFF,1,1
28e5aaa241d366dce9acd38e5c85327f,llama31_8b_it,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,1,1
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R0_BASE,T0_OFF,0,1
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R0_BASE,T1_SILENT_CHECK,0,0
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T0_OFF,0,1
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R1_METADATA_NEUTRAL,T1_SILENT_CHECK,0,1
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R2_NO_INFORMATION,T0_OFF,1,1
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R2_NO_INFORMATION,T1_SILENT_CHECK,1,1
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T0_OFF,1,0
4f5f994e760e25f1677ec3f6fd5c2e64,deepseek_r1_llama_8b,R3_IRRELEVANT_CONTEXT,T1_SILENT_CHECK,1,0
