cluster_id,analysis_order,reference,treatment,correctness,execution_class
24e69336a232465999014a44a9446908,41,BASE,T0_OFF,true,primary
24e69336a232465999014a44a9446908,41,BASE,T1_SILENT_CHECK,true,primary
24e69336a232465999014a44a9446908,41,MASK_SENTINEL,T0_OFF,true,primary
24e69336a232465999014a44a9446908,41,MASK_SENTINEL,T1_SILENT_CHECK,true,primary
24e69336a232465999014a44a9446908,41,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,true,primary
24e69336a232465999014a44a9446908,41,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,true,primary
24e69336a232465999014a44a9446908,41,BASE,T0_OFF,true,integrity_duplicate
24e69336a232465999014a44a9446908,41,BASE,T1_SILENT_CHECK,true,integrity_duplicate
24e69336a232465999014a44a9446908,41,MASK_SENTINEL,T0_OFF,true,integrity_duplicate
24e69336a232465999014a44a9446908,41,MASK_SENTINEL,T1_SILENT_CHECK,true,integrity_duplicate
24e69336a232465999014a44a9446908,41,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,true,integrity_duplicate
24e69336a232465999014a44a9446908,41,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,true,integrity_duplicate
e536cef15638864b0c2a4cdcf3def0ac,279,BASE,T0_OFF,false,primary
e536cef15638864b0c2a4cdcf3def0ac,279,BASE,T1_SILENT_CHECK,false,primary
e536cef15638864b0c2a4cdcf3def0ac,279,MASK_SENTINEL,T0_OFF,false,primary
e536cef15638864b0c2a4cdcf3def0ac,279,MASK_SENTINEL,T1_SILENT_CHECK,false,primary
e536cef15638864b0c2a4cdcf3def0ac,279,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,false,primary
e536cef15638864b0c2a4cdcf3def0ac,279,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,false,primary
e536cef15638864b0c2a4cdcf3def0ac,279,BASE,T0_OFF,false,integrity_duplicate
e536cef15638864b0c2a4cdcf3def0ac,279,BASE,T1_SILENT_CHECK,false,integrity_duplicate
e536cef15638864b0c2a4cdcf3def0ac,279,MASK_SENTINEL,T0_OFF,false,integrity_duplicate
e536cef15638864b0c2a4cdcf3def0ac,279,MASK_SENTINEL,T1_SILENT_CHECK,false,integrity_duplicate
e536cef15638864b0c2a4cdcf3def0ac,279,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,false,integrity_duplicate
e536cef15638864b0c2a4cdcf3def0ac,279,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,false,integrity_duplicate
6478a39719672a8a1a4ebe2dd799506b,114,BASE,T0_OFF,true,primary
6478a39719672a8a1a4ebe2dd799506b,114,BASE,T1_SILENT_CHECK,true,primary
6478a39719672a8a1a4ebe2dd799506b,114,MASK_SENTINEL,T0_OFF,true,primary
6478a39719672a8a1a4ebe2dd799506b,114,MASK_SENTINEL,T1_SILENT_CHECK,true,primary
6478a39719672a8a1a4ebe2dd799506b,114,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,true,primary
6478a39719672a8a1a4ebe2dd799506b,114,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,true,primary
497a7f9a123e0f46001ebbcd4740b775,117,BASE,T0_OFF,true,primary
497a7f9a123e0f46001ebbcd4740b775,117,BASE,T1_SILENT_CHECK,false,primary
497a7f9a123e0f46001ebbcd4740b775,117,MASK_SENTINEL,T0_OFF,true,primary
497a7f9a123e0f46001ebbcd4740b775,117,MASK_SENTINEL,T1_SILENT_CHECK,false,primary
497a7f9a123e0f46001ebbcd4740b775,117,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,true,primary
497a7f9a123e0f46001ebbcd4740b775,117,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,false,primary
6c6462cd00b3f7998f55146c4d32541d,167,BASE,T0_OFF,false,primary
6c6462cd00b3f7998f55146c4d32541d,167,BASE,T1_SILENT_CHECK,true,primary
6c6462cd00b3f7998f55146c4d32541d,167,MASK_SENTINEL,T0_OFF,true,primary
6c6462cd00b3f7998f55146c4d32541d,167,MASK_SENTINEL,T1_SILENT_CHECK,true,primary
6c6462cd00b3f7998f55146c4d32541d,167,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,true,primary
